,name,lat,long
108,Hop Valley Brewing Company,44.0828582,-123.0397437
109,Occidental Brewing Company,39.0752226,-78.5975618
110,People's Brewing Company,40.43764445,-86.88674616
111,Fort George Brewery,46.1884134,-123.8274641
112,Kalona Brewing Company,41.4833131,-91.7075553
113,Modern Times Beer,32.7541859,-117.2062181
114,Temperance Beer Company,42.0400322,-87.7020644
115,Wisconsin Brewing Company,42.96885545,-89.50898823
116,Crow Peak Brewing Company,44.51749305,-103.8702901
117,Orpheus Brewing,33.7935517,-84.3687353
118,Bozeman Brewing Company,45.6845234,-111.0238884
119,Fat Head's Brewery,40.2420767,-75.3347592
120,Refuge Brewery,33.50431328,-117.158374
121,Chatham Brewing,42.3632971,-73.5952896
122,College Street Brewhouse and Pub,33.7652432,-84.3488434
123,Harpoon Brewery,42.3472714,-71.0339692
124,Back East Brewing Company,41.8550153,-72.7047612
125,Champion Brewing Company,37.542417,-77.4391228
126,Golden Road Brewing,34.1506216,-118.2744662
127,New Republic Brewing Company,48.6482349,-118.7379008
128,Lift Bridge Brewing Company,43.0466926,-87.9136479
129,Creature Comforts,34.50817905,-83.39796966
130,Half Full Brewery,41.0394126,-73.5499379
131,Chapman's Brewing,40.8818084,-85.4962042
132,Barrio Brewing Company,42.6540692,-73.7477348
133,Santa Cruz Mountain Brewing,36.9591842,-122.0481763
134,Frankenmuth Brewery,43.3311302,-83.73767102
135,South Austin Brewery,30.2143335,-97.762481
136,Bauhaus Brew Labs,45.0007943,-93.2447193
137,Ozark Beer Company,36.3335034,-94.1147203
138,Mountain Town Brewing Company,29.8036158,-95.3870438
139,Otter Creek Brewing,44.0294434,-73.1722257
140,The Brewer's Art,39.3027444,-76.6162082
141,Denver Beer Company,39.7582671,-105.0073217
142,Tractor Brewing Company,35.2121779,-106.6969692
143,Cape Cod Beer,41.67804315,-70.31009914
144,Long Trail Brewing Company,37.7630772,-122.401106
145,The Alchemist,44.47631378,-72.71542959
146,Portside Brewery,41.50157504,-81.70317849
147,Montauk Brewing Company,41.0366959,-71.9440878
148,Berkshire Brewing Company,42.478702,-72.6093197
149,Headlands Brewing Company,37.8936718,-122.110825
150,Thunderhead Brewing Company,41.2531962,-95.930362
151,Defiance Brewing Company,38.85874685,-99.30164671
152,Milwaukee Brewing Company,43.0447868,-87.9221481
153,Catawba Island Brewing,41.57772885,-82.83441947
154,Back Forty Beer Company,33.521945,-86.78775053
155,Four Corners Brewing Company,32.772092,-96.79180165
156,Rogue Ales,37.8001497,-122.4107165
157,Hale's Ales,40.0288791,-83.1190798
158,Tommyknocker Brewery,39.2527479,-121.0257417
159,Baxter Brewing Company,44.0951304,-70.2198659
160,Northampton Brewery,42.317397,-72.6303406
161,Wachusett Brewing Company,42.5587085,-71.8704551
162,Hop Farm Brewing Company,40.4846784,-79.9480263
163,Old Forge Brewing Company,40.96285115,-76.6168006
164,Blue Hills Brewery,41.8550153,-72.7047612
165,Night Shift Brewing,42.3673628,-71.0594069
166,Beach Brewing Company,46.1881066,-123.8290241
167,Brew Bus Brewing,27.98261965,-82.45864568
168,Pine Street Brewery,44.4597784,-73.2138933
169,Dirty Bucket Brewing Company,47.7661918,-122.1484843
170,Jackalope Brewing Company,36.1503817,-86.7794989
171,Iron Hill Brewery & Restaurant,40.0752709,-75.2054086
172,Marshall Wharf Brewing Company,44.4289843,-69.0053583
173,Dick's Brewing Company,46.7352063,-123.0013651
174,Voodoo Brewery,41.6373576,-80.1547059
175,Morgan Street Brewery,37.1303068,-121.6549204
176,Half Acre Beer Company,41.9591945,-87.6820201
177,The Bronx Brewery,40.801861,-73.91064054
178,Catawba Brewing Company,35.58905465,-82.5535967
179,David's Ale Works,38.69632765,-120.8288452
180,Fargo Brewing Company,46.8768329,-96.7893333
181,Big Sky Brewing Company,46.9224727,-114.0731652
182,Nebraska Brewing Company,41.2579544,-95.9728744
183,Wormtown Brewery,42.2634992,-71.7912262
184,Due South Brewing Company,37.7630772,-122.401106
185,Palisade Brewing Company,39.1110153,-108.3541064
186,Hardywood Park Craft Brewery,37.5649586,-77.4575448
187,Lavery Brewing Company,42.1230276,-80.0840093
188,Fullsteam Brewery,36.00310675,-78.89959435
189,Hinterland Brewery,44.50336585,-88.06456957
190,Central Coast Brewing Company,32.8736085,-79.9720431
191,Elevator Brewing Company,43.04550975,-87.92530432
192,Aslan Brewing Company,48.74837375,-122.4745357
193,Kulshan Brewery,48.7601273,-122.4645645
194,Pikes Peak Brewing Company,38.83423935,-104.8249314
195,Manayunk Brewing Company,40.0225615,-75.2189851
196,Buckeye Brewing,47.6822302,-117.3433548
197,NoDa Brewing Company,35.25155855,-80.81229235
198,Mikkeller,32.89843384,-117.1445372
199,Bohemian Brewery,40.6205445,-111.8882204
200,Great River Brewery,41.52157415,-90.57002982
201,21st Amendment Brewery,37.782448,-122.3925769
202,Eddyline Brewery & Restaurant,38.8405627,-106.1326726
203,Spring House Brewing Company,40.02994835,-76.30835158
204,Astoria Brewing Company,46.1881066,-123.8290241
205,Maui Brewing Company,20.7496505,-156.4379498
206,Bold City Brewery,30.31979184,-81.69502057
207,Blue Mountain Brewery,38.0160319,-78.8218849
208,Starr Hill Brewery,38.0325265,-78.4950696
209,Westbrook Brewing Company,43.67648235,-70.36957984
210,Revolution Brewing,41.94229545,-87.70856239
211,Natian Brewery,45.5227496,-122.6523921
212,Breckenridge Brewery,39.4761392,-106.0437935
213,Santa Fe Brewing Company,35.5965781,-106.0512414
214,Miami Brewing Company,25.8001632,-80.20438084
215,Schilling & Company,30.2585773,-92.00862228
216,Hops & Grain Brewery,30.258312,-97.71187954
217,Saugatuck Brewing Company,42.68573525,-86.16428357
218,Moab Brewery,38.5626985,-109.5496464
219,Macon Beer Company,32.83564475,-83.62932603
220,Fate Brewing Company,33.39245955,-111.9366272
221,10 Barrel Brewing Company,39.7594702,-104.9856401
222,Tamarack Brewing Company,48.016086,-114.2254214
223,New England Brewing Company,41.33942845,-72.97961767
224,Straight to Ale,34.72094785,-86.60709413
225,Austin Beerworks,30.3794297,-97.7297301
226,Boulder Beer Company,40.026439,-105.2480158
227,Sanitas Brewing Company,40.0214851,-105.2473789
228,Gore Range Brewery,39.6442547,-106.5961905
229,Wynkoop Brewing Company,39.7535446,-104.9984831
230,Armadillo Ale Works,33.2128435,-97.12803229
231,Asher Brewing Company,40.0601273,-105.2059026
232,North Country Brewing Company,41.0636907,-80.0557639
233,Seabright Brewery,33.1386811,-117.2738783
234,French Broad Brewery,35.5663489,-82.53736742
235,Two Roads Brewing Company,41.1857153,-73.1420327
236,Brooklyn Brewery,40.7214424,-73.9573563
237,The Right Brain Brewery,44.7495064,-85.6195125
238,Kona Brewing Company,21.3324081,-157.9242928
239,O'Fallon Brewery,38.7046842,-90.4477571
240,Marble Brewery,35.0927723,-106.6465838
241,Big Wood Brewery,45.0851173,-93.00674203
242,Howard Brewing Company,44.51943545,-88.01785923
243,Downeast Cider House,42.3641557,-71.0322106
244,Northwest Brewing Company,48.56786694,-122.0295614
245,Denali Brewing Company,62.16151055,-150.0292128
246,Deschutes Brewery,44.04672635,-121.3220881
247,Sunken City Brewing Company,37.1184978,-79.7227156
248,Kenai River Brewing Company,60.4848837,-151.0570079
249,River North Brewery,39.753515,-104.98341
250,Fremont Brewing Company,47.64919175,-122.3444367
251,Good Life Brewing Company,44.05096365,-121.3301425
252,Engine 15 Brewing,43.04605955,-87.92468486
253,Green Room Brewing,30.2907185,-81.3926384
254,Okoboji Brewing Company,43.4059902,-95.1262322
255,Engine House 9,47.25582313,-122.4728543
256,Red Hare Brewing Company,33.92440825,-84.4957563
257,Hangar 24 Craft Brewery,34.0831712,-117.141913
258,Heavy Seas Beer,39.2320796,-76.6758041
259,Confluence Brewing Company,41.5681836,-93.6324704
260,The Manhattan Brewing Company,39.1795359,-96.5622144
261,Redhook Brewery,43.08832335,-70.80324416
262,Dock Street Brewery,39.94857998,-75.21794963
263,Blue Point Brewing Company,40.75913445,-73.0216063
264,Tampa Bay Brewing Company,27.9613506,-82.4416215
265,Devil's Canyon Brewery,37.4988164,-122.2439229
266,Newburyport Brewing Company,42.80453145,-70.88665225
267,Cans Bar and Canteen,43.0598242,-87.8874602
268,Wildwood Brewing Company,46.53009492,-114.1079758
269,High Noon Saloon And Brewery,43.0950727,-89.3351861
270,Sea Dog Brewing Company,43.63519195,-70.31903067
272,Mudshark Brewing Company,34.4685811,-114.3409353
273,Wingman Brewers,47.2410329,-122.4274671
275,Sherwood Forest Brewers,39.03109355,-76.55203305
276,Crabtree Brewing Company,40.3897102,-104.7274616
277,Butcher's Brewing,36.0696646,-115.2993579
278,New South Brewing Company,37.7630772,-122.401106
279,Twisted Pine Brewing Company,40.0205129,-105.2511717
280,Flying Dog Brewery,39.3628322,-77.42679107
281,Aspen Brewing Company,39.1902646,-106.820341
282,Triangle Brewing Company,34.0360857,-118.2358011
283,Intuition Ale Works,30.32348665,-81.64484508
284,Asheville Brewing Company,35.62213465,-82.55367345
285,Dolores River Brewery,37.4735531,-108.5046859
286,Abita Brewing Company,30.4821589,-90.05488557
287,Mammoth Brewing Company,37.64877335,-118.9834999
288,Grand Canyon Brewing Company,38.83423935,-104.8249314
289,Lewis and Clark Brewing Company,46.5862933,-112.0417121
290,Grand Canyon Brewing Company,35.26767149,-112.1943191
291,Twin Lakes Brewing Company,36.9645435,-121.9892478
292,Great Northern Brewing Company,48.4123381,-114.3369263
293,Lancaster Brewing Company,40.0438123,-76.2983818
294,Prescott Brewing Company,34.85932123,-111.1245871
295,Wind River Brewing Company,42.86630765,-109.8659902
297,Mickey Finn's Brewery,42.286249,-87.95462342
298,Ukiah Brewing Company,39.1498742,-123.2078041
299,Sleeping Lady Brewing Company,61.2197366,-149.8958196
300,The Mitten Brewing Company,42.98491266,-85.68100276
301,Tin Man Brewing Company,37.9802897,-87.58452457
302,Four Fathers Brewing,41.47328343,-87.07906572
303,Ballast Point Brewing Company,33.8347516,-117.911732
